,Chambers,Run,Odor,Corrected Arousal PI,Genotype,GenotypeCorrected
1,5,1,MCH,0.0,W1118>OK107-Gal4,Control Gal4
2,6,1,MCH,0.15041935483870972,W1118>OK107-Gal4,Control Gal4
3,7,1,MCH,0.6000000000000001,W1118>OK107-Gal4,Control Gal4
4,8,1,MCH,0.981548387096774,W1118>OK107-Gal4,Control Gal4
5,9,1,MCH,1.0,W1118>OK107-Gal4,Control Gal4
6,10,1,MCH,-0.4709677419354838,OK107-Gal4>UAS-dGtACR1,Test
7,11,1,MCH,0.4354193548387097,OK107-Gal4>UAS-dGtACR1,Test
8,12,1,MCH,0.5,OK107-Gal4>UAS-dGtACR1,Test
9,13,1,MCH,0.9741935483870967,OK107-Gal4>UAS-dGtACR1,Test
10,14,1,MCH,1.0,OK107-Gal4>UAS-dGtACR1,Test
